rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,class
0.015068237,0.4204103,1215.5950448969472,681.0345705209393,1970.935701069079,0.1114382636278195,-523.64465,96.63442,-20.686287,-37.717735,-5.711727,-12.0544615,-29.95188,-24.131193,-17.47654,-17.156511,-9.392768,-4.583385,-8.75116,-5.9806056,1.9688193,0.21730421,-4.4729023,-1.2495028,2.6784437,1.7416942,1.0
0.047799382,0.3257557,821.5219765177858,499.3380204384295,1330.3608490181368,0.0770689261482254,-420.95615,136.45718,25.72104,-23.110546,-27.43269,-32.392883,-26.520086,-11.788216,-14.301562,-21.24514,-11.516329,-3.443913,-9.049007,-10.723128,-5.720758,-6.246833,-7.393806,-3.1722238,-1.9690589,-4.5764394,0.0
0.011239652,0.36396086,1057.414342787499,629.044063639535,1659.9135980373476,0.0848069672800522,-538.02936,114.31099,18.435802,-11.781265,-21.283573,-40.847008,-32.98015,-14.510438,-18.6902,-15.9314995,0.98931223,-3.361403,-15.135518,-5.2352257,1.9429845,-7.282,-7.018872,1.4298642,-1.4221265,-5.2472906,0.0
0.014627779,0.4554809,916.3730200792436,629.7467234730224,1547.2933834546234,0.0883142480022831,-514.32837,181.24336,11.756637,-31.288836,-11.251826,-9.203105,-3.19205,-7.1993203,-29.835861,-19.77199,6.531035,-6.56043,-23.111069,-7.046984,0.041220468,-10.219359,-6.7954907,-3.5207794,-10.859094,-6.6419506,0.0
0.013883181,0.34905455,1042.0852054110294,613.9871896106174,1680.5992126464844,0.0957005818684895,-496.27026,93.50864,-4.2097898,-19.494444,1.5514742,-8.884233,-21.275694,-11.372318,-6.923139,-10.564485,-5.034868,-2.1063337,-8.007361,-5.718815,0.689737,-3.5685232,-6.7357345,-0.43289542,0.57562053,-4.465036,1.0
0.03372137,0.4170766,1123.4847972717275,683.318146414505,1887.78020964196,0.1087591276695979,-423.29373,174.56505,-12.418052,-24.380215,4.651913,-23.530592,-19.688837,0.45506296,-22.890408,-25.385075,3.0600026,-9.722199,-28.66736,-3.1727753,7.051638,-15.898982,-14.65276,0.22059555,-6.6721206,-10.973039,1.0
0.021429319,0.3389297,1035.1975108881618,621.8136565221413,1700.5709134615386,0.0945467293123543,-475.51718,113.87629,-1.2790191,-18.440262,11.422438,-1.9531277,-25.85513,-16.890453,-9.83884,-19.557112,-12.992793,3.0544777,-3.602416,-16.34696,-8.207805,2.0818205,-3.5787976,-8.290234,-3.566346,-2.5187838,1.0
0.014889212,0.4661885,1215.953724288588,832.1801004089838,2147.665127840909,0.1060408775252525,-547.9787,97.52189,1.4298668,-11.142975,1.8225881,-14.014219,-15.185847,-0.4323779,-9.935517,-19.195263,-3.1228807,2.133552,-11.239687,-9.272803,0.8550204,-3.6446452,-7.017283,-1.0668294,-2.229403,-5.7177644,0.0
0.015389525,0.4390722,1305.4002825763382,711.6543079342712,2071.166461447011,0.1257005774456521,-562.3693,88.72209,-3.2935925,-7.4272785,7.8393583,-9.187202,-14.532105,-11.673205,-22.164122,-12.194773,10.124426,-2.0566638,-20.096891,-4.9700227,5.839347,-6.359153,-6.9046135,1.5306755,-3.9642951,-6.828271,0.0
0.0071518496,0.33479548,1253.91356370978,621.3901059887728,1937.2839241384345,0.1208359192464953,-578.77966,94.96512,-20.718359,-40.6755,-16.434364,-24.505596,-29.35012,-6.3348765,2.082875,-12.324189,-14.881167,-3.8026557,-1.1321517,-5.7212253,-4.962801,-0.7573317,-0.8248361,-2.6085718,-0.1732604,1.9766804,1.0
